Date,AAD.DE,ADS.DE,ADV.DE,AFX.DE,AIR.DE,ALV.DE,ARL.DE,BAS.DE,BAYN.DE,BC8.DE,BDT.DE,BEI.DE,BMW.DE,BOSS.DE,BVB.DE,BYW6.DE,CBK.DE,COK.DE,COM.DE,CON.DE,DAI.DE,DB1.DE,DBK.DE,DEQ.DE,DEZ.DE,DLG.DE,DPW.DE,DRI.DE,DTE.DE,DUE.DE,EOAN.DE,EVD.DE,EVT.DE,FIE.DE,FME.DE,FNTN.DE,FRA.DE,FRE.DE,G1A.DE,GBF.DE,GFT.DE,GIL.DE,GLJ.DE,GMM.DE,GSC1.DE,HEI.DE,HEN3.DE,HNR1.DE,HOT.DE,IFX.DE,INH.DE,JEN.DE,JUN3.DE,KRN.DE,KU2.DE,LEO.DE,LHA.DE,LIN.DE,LPK.DE,LXS.DE,MAN.DE,MLP.DE,MOR.DE,MRK.DE,MUV2.DE,NDA.DE,NEM.DE,PFV.DE,PUM.DE,QIA.DE,QSC.DE,RAA.DE,RHK.DE,RWE.DE,SAP.DE,SBS.DE,SDF.DE,SGL.DE,SIE.DE,SIX2.DE,SKB.DE,SPR.DE,SZG.DE,SZU.DE,TEG.DE,TKA.DE,TTK.DE,UTDI.DE
2017-01-16,3876,351401,78054,47879,105547,936286,192285,1215592,1042022,42718,13945,318056,1384090,1143533,161103,33914,8556767,121304,52274,222698,3080777,23919,8743192,110028,135832,266230,1640456,131890,4629061,169524,10568475,50890,604653,73676,629611,384080,75739,882435,266991,78638,59049,12456,42237,70515,3296,354771,316182,91535,47920,2697509,25857,66866,52239,53678,4056,154797,3669779,0,19464,214653,33513,150524,66105,267174,297112,113817,223614,20098,96220,176751,117037,6335,100098,5187701,1099899,5511,665662,268762,1331334,26650,92387,75507,205827,359346,149920,1527511,26468,657652
2017-01-17,4758,433069,204720,39195,161318,1427607,205572,1953765,1724265,35014,15700,619334,1480197,338936,93340,23269,9940301,136470,47993,371774,3341570,59916,12488082,159496,253090,221640,2724104,96099,6412602,154342,8101383,157475,1130871,56595,699252,373512,198389,843793,607578,187690,70517,19474,26946,46035,688,700603,435965,121494,75351,3125606,24113,36839,59735,65523,14576,226776,17845008,0,15886,345418,63794,189955,93411,381001,545357,137111,140295,9854,67310,270030,172013,6692,159939,4234291,1578494,14814,1752443,591640,1695452,63459,60095,117694,185220,491920,222075,1389109,28907,722994
2017-01-18,4109,680676,224207,65931,79366,1125000,206822,1657978,2009093,42610,14493,327983,1077436,826320,81775,17121,10127118,130716,24028,320327,2065365,49502,13126822,106111,369882,388325,2242639,70232,6166882,241438,16499610,117636,1317123,58100,637261,261242,196919,1081285,565803,205151,94940,27499,39696,31647,4271,493917,351721,154607,87288,3575999,28633,38534,154592,88915,7984,106159,6207180,0,17969,419501,65812,110568,162666,503055,470132,142053,121443,8770,53440,350356,148473,8531,137948,3639119,1826093,4186,1183279,374466,1591040,36642,60071,111275,148510,281608,242582,2123827,35400,728997
2017-01-19,5694,621644,317783,73105,138923,1214829,257357,2619702,1983775,37008,19369,394472,1368684,614275,128368,7785,20354676,124950,16070,265467,2726467,25867,12802422,214830,349915,484399,2535975,122122,8748322,216230,11817024,73717,696513,62910,519555,453988,115304,1040603,407019,301277,160291,24959,31074,175357,4215,433461,460884,120204,63876,2856410,17378,168725,94299,62905,3250,97332,3552867,0,38266,466708,50536,48723,84672,445923,363658,423694,242421,72448,52920,503956,650074,2805,736328,4696243,2178360,17279,1527624,499050,1944431,45351,46202,118444,277335,285049,151712,2909802,38465,810986
2017-01-20,5608,755126,165629,80246,116493,1760228,184371,2949945,2635581,29282,23859,430213,1646303,483978,257713,18475,23136969,119138,57897,519668,4109238,89304,16029365,188120,631159,345154,3440010,198785,12345678,505240,11557939,66424,1901732,92677,714433,308589,108018,1475172,412426,138580,90865,33643,31515,160691,1527,805681,446367,119257,71271,3823051,20466,280859,160252,41487,10357,248440,10226473,0,34962,337475,54370,70446,94014,513320,759299,135738,215517,38975,41360,493712,266827,4257,390992,3058368,3038209,8289,1209256,406487,2830651,18064,54062,126653,215412,234972,176565,2477602,39982,604365
2017-01-23,4723,474302,264502,55333,122903,1529234,209846,1711761,1778325,36908,46219,270677,1184095,412625,83182,25897,14896364,121456,26521,318844,2660136,59767,12018102,136491,291472,249109,2705595,160381,7327884,190558,8137863,119255,962665,69993,558797,313527,123793,941464,457017,205742,97583,25068,14433,122247,1849,355667,388227,111809,64280,2898896,26011,100830,174431,37720,3953,160579,5412019,0,19418,275863,45683,46623,171065,494254,551419,136692,194652,23699,184130,409040,263429,6426,266259,3009109,1849358,8418,1145602,497432,1779460,41422,39077,99832,286901,303210,144331,2612106,32206,563233
2017-01-24,6854,582573,223013,48797,70537,2109825,319748,1797797,1658176,52528,45673,291506,1069901,401073,121709,16611,11479725,102510,19831,345425,3025662,99562,11028562,111989,438263,224602,2068766,86938,11835659,249438,10188164,81797,1068748,164717,480553,319324,145008,835482,419765,160148,136271,26314,37539,95283,2453,551434,312181,119527,63204,3087437,22285,277276,247755,44734,9099,162475,4030497,0,5374,316167,44568,102950,89293,401703,444522,124197,107682,371289,74700,572990,190312,12401,140324,3573233,2709377,25996,1709936,245108,1738245,46155,27656,98524,276268,275842,217328,2765124,27033,468878
2017-01-25,3668,600743,421131,56240,129991,2458748,325483,2364192,2929752,46480,38493,368016,1745950,585022,109442,35362,24957947,148018,14438,456068,4232038,123339,22154704,116750,571283,400767,2946857,142164,11444416,520270,10523803,103502,915654,89206,756743,366483,126854,982001,898760,185542,135241,25288,25068,116395,4347,1292226,504342,133965,74371,6204381,29196,174353,349583,63067,8553,225786,5951773,0,17059,311030,67802,143955,109854,428526,629687,169444,191976,128889,102460,406185,235116,7860,112535,7642266,2687571,25246,2226251,363759,2575795,81547,51728,196833,217585,196955,197533,3024940,17285,430915
2017-01-26,8451,504806,288859,64103,96913,1539238,293415,2084688,3271271,44666,34108,349440,1295080,448873,99391,32145,20416057,212480,21518,365998,3407985,110184,15412097,114922,260274,357562,1974569,151009,9052003,448514,8232211,91232,1082139,105774,1072108,362659,126978,1096571,669583,244845,137552,34579,23841,121883,2325,709418,421187,111396,37784,4850077,33809,102520,174262,47810,6162,245689,3413692,0,12637,239226,48568,178760,197716,417171,645517,134594,163101,66099,67730,542164,179939,7180,100868,3527709,1966701,26946,2362212,343492,1794591,28472,41256,152003,204370,184560,199928,2520543,13118,463821
2017-01-27,6612,698509,452130,69657,69043,1193485,697053,2077175,1715270,27122,14615,413948,1340989,273078,62806,19370,12454133,135804,12913,378536,3436066,197101,10337478,139946,829388,236981,1596832,204998,5991210,306626,6719932,77726,700360,83517,380342,381961,94638,870707,492781,210568,104577,31562,27489,51711,3779,423016,365773,72842,62786,3328013,21627,74376,128839,54428,5658,155111,6266337,0,14123,252740,41141,112372,148290,342622,476321,134652,546447,57058,83850,443565,147758,6297,93028,3306236,1636673,13266,1135290,440775,1860087,41800,65114,152174,162542,148971,140786,2615601,15900,273582
